"","x"
"growth",5
"node",5
"ulceration",5
"patent",5
"source",5
"mediastinal",5
"large",5
"inactive",5
"tuberculosis",5
"early",5
"igm",5
"nystagmus",5
"retinopathy",5
"transient",5
"leak",5
"parenchymal",5
"amputation",5
"elective",5
"coli",5
"beta",5
"lactic",4
"micafungin",4
"peritoneal",4
"cordarone",4
"unasyn",4
"ceftriaxone",4
"cubicin",4
"imipenem",4
"tygacil",4
"xylocaine",4
"alimta",4
"adenocarcinoma",4
"alopecia",4
"and",4
"bilateral",4
"bowel",4
"cataracts",4
"cluster",4
"cough",4
"depression",4
"dilated",4
"hearing",4
"hirsutism",4
"injury",4
"intracranial",4
"muscle",4
"neck",4
"neurological",4
"nocturnal",4
"pain",4
"panic",4
"paroxysmal",4
"photophobia",4
"physical",4
"scoliosis",4
"sexual",4
"the",4
"tremor",4
"with",4
"corneal",4
"lobe",4
"motor",4
"plus",4
"tongue",4
"tumors",4
"viii",4
"umbilicus",4
"withdrawal",4
"cmv",4
"female",4
"illness",4
"legs",4
"proteus",4
"sharp",4
"steroid",4
"unexplained",4
"vessels",4
"person",4
"artery",4
"gastritis",4
"popliteal",4
"ribs",4
"differentiated",4
"hypernatremia",4
"arteries",4
"benign",4
"fixation",4
"nephropathy",4
"obstructive",4
"anal",4
"tibial",4
"heavy",4
"induced",4
"slight",4
"anterior",4
"inhibitor",4
"lobar",4
"reduced",4
"sensitive",4
"pneumonitis",4
"cerebral",4
"rectal",4
"toxicity",4
"biliary",4
"hernia",4
"diabetic",4
"fistula",4
"palsy",4
"permanent",4
"sensitivity",4
"wasting",4
"costovertebral",4
"exercise",4
"bethanechol",3
"factor",3
"electrolytes",3
"cortef",3
"fibrinogen",3
"magnesium",3
"solu",3
"lactulose",3
"liquid",3
"coumadin",3
"cozaar",3
"ampicillin",3
"ultracet",3
"amaryl",3
"inderal",3
"flu",3
"norepinephrine",3
"digoxin",3
"alprazolam",3
"linezolid",3
"zyvox",3
"intravenous",3
"tree",3
"dobutamine",3
"tarceva",3
"levetiracetam",3
"alcohol",3
"color",3
"dental",3
"edema",3
"intact",3
"loss",3
"negative",3
"nonspecific",3
"osseous",3
"pelvic",3
"soft",3
"system",3
"weight",3
"acid",3
"between",3
"down",3
"shoulder",3
"strabismus",3
"tumor",3
"vii",3
"acth",3
"atypical",3
"broad",3
"terminal",3
"aspergillosis",3
"candidiasis",3
"chain",3
"cns",3
"kidneys",3
"medium",3
"neutropenia",3
"pericardial",3
"ray",3
"degenerative",3
"dementia",3
"finger",3
"coronary",3
"dilatation",3
"interstitial",3
"iodine",3
"ischemia",3
"hip",3
"limited",3
"necrosis",3
"name",3
"punctate",3
"gastroesophageal",3
"fibrosis",3
"hemorrhoid",3
"single",3
"absent",3
"septal",3
"age",3
"cholecystitis",3
"idiopathic",3
"sacral",3
"paraneoplastic",3
"atrophic",3
"interruption",3
"motility",3
"conduction",3
"expression",3
"fasciculation",3
"translocation",3
"epidermidis",3
"aureus",3
"escherichia",3
"aggravated",3
"symptom",3
"auditory",3
"inflammatory",3
"als",3
"accessory",3
"junctional",3
"jaw",3
"piperacillin",2
"dexamethasone",2
"lymphocyte",2
"short",2
"voriconazole",2
"combivent",2
"peg",2
"vitamin",2
"seroquel",2
"apresoline",2
"entecavir",2
"aldactone",2
"ethambutol",2
"urokinase",2
"valsartan",2
"midodrine",2
"tamiflu",2
"methylprednisolone",2
"erythromycin",2
"immune",2
"mexitil",2
"nimbex",2
"herceptin",2
"xeloda",2
"apixaban",2
"eliquis",2
"lantus",2
"balanced",2
"vfend",2
"fibrin",2
"taxotere",2
"caspofungin",2
"cytomegalovirus",2
"true",2
"cord",2
"phosphate",2
"gallium",2
"cefazolin",2
"pneumococcal",2
"crystals",2
"dislocation",2
"distal",2
"femur",2
"free",2
"insomnia",2
"kyphoscoliosis",2
"lumbosacral",2
"osteopenia",2
"periventricular",2
"prostate",2
"pupils",2
"purpura",2
"severe",2
"uremic",2
"dysfunction",2
"lateral",2
"occipital",2
"reactive",2
"tel",2
"wedge",2
"hypomagnesemia",2
"pneumothorax",2
"spectrum",2
"undetermined",2
"very",2
"abnormalities",2
"apparent",2
"breast",2
"cell",2
"cervical",2
"cutaneous",2
"cystic",2
"disseminated",2
"duodenal",2
"hollow",2
"involvement",2
"lymphoid",2
"marrow",2
"occult",2
"uterus",2
"endocrine",2
"symmetrical",2
"arm",2
"peroneal",2
"subclavian",2
"thrombosis",2
"vessel",2
"disability",2
"dissection",2
"brown",2
"linear",2
"medial",2
"radial",2
"subcutaneous",2
"urethral",2
"deficit",2
"late",2
"primary",2
"state",2
"fusion",2
"graft",2
"hepatorenal",2
"cycle",2
"hemorrhagic",2
"fifth",2
"phase",2
"tamponade",2
"autoimmune",2
"psychosis",2
"deterioration",2
"esophagus",2
"ataxia",2
"regional",2
"resistance",2
"kyphosis",2
"persisting",2
"mutation",2
"cholangitis",2
"hemiplegia",2
"organic",2
"receptor",2
"gland",2
"intestinal",2
"window",2
"arteriovenous",2
"caused",2
"neuron",2
"gene",2
"digestive",2
"hemoglobin",2
"encephalitis",2
"gamma",2
"significance",2
"asthma",2
"localized",2
"mycobacterium",2
"neuropathy",2
"cholestasis",2
"concentric",2
"metabolism",2
"nephrotic",2
"veins",2
"deficiency",2
"glomerulonephritis",2
"shaped",2
"amyotrophic",2
"episodic",2
"hyposmia",2
"reduction",2
"cyclic",2
"isolated",2
"osteomyelitis",2
"periodic",2
"serous",2
"conversion",2
"granulomatous",2
"infective",2
"narrow",2
"uncontrolled",2
"atrioventricular",2
"fingers",2
"scapula",2
"dysphonia",2
"positional",2
"primitive",2
"contracture",2
"bundle",2
"levophed",1
"allegra",1
"celecoxib",1
"codeine",1
"combined",1
"cyclophosphamide",1
"sutent",1
"lorazepam",1
"yellow",1
"augmentin",1
"cortisone",1
"filgrastim",1
"ganciclovir",1
"hydrocortisone",1
"megace",1
"nystatin",1
"trace",1
"insect",1
"heparin",1
"captopril",1
"ketorolac",1
"lanoxin",1
"tromethamine",1
"orally",1
"pyrazinamide",1
"ammonium",1
"clinimix",1
"januvia",1
"oxaliplatin",1
"propranolol",1
"thalidomide",1
"dextrose",1
"risperdal",1
"zyprexa",1
"chlorpromazine",1
"desmopressin",1
"estradiol",1
"exforge",1
"flurazepam",1
"lithium",1
"meloxicam",1
"metoprolol",1
"quetiapine",1
"famotidine",1
"carvedilol",1
"fluorescein",1
"hydroxychloroquine",1
"pantoprazole",1
"pce",1
"sterile",1
"xalatan",1
"clonidine",1
"precedex",1
"capecitabine",1
"clarithromycin",1
"indapamide",1
"ventolin",1
"crestor",1
"gelfoam",1
"lidocaine",1
"bal",1
"propafenone",1
"isoniazid",1
"rifampin",1
"trandate",1
"claforan",1
"atorvastatin",1
"linagliptin",1
"gemcitabine",1
"alpha",1
"clopidogrel",1
"gemzar",1
"navelbine",1
"paclitaxel",1
"paraplatin",1
"valtrex",1
"amikacin",1
"warfarin",1
"black",1
"cellcept",1
"dexilant",1
"ismo",1
"rapamune",1
"sirolimus",1
"dilantin",1
"itraconazole",1
"lamivudine",1
"midazolam",1
"ambisome",1
"amphotericin",1
"cefuroxime",1
"cytotec",1
"foscarnet",1
"foscavir",1
"metoclopramide",1
"milrinone",1
"mycophenolate",1
"primacor",1
"prochlorperazine",1
"prograf",1
"sucralfate",1
"tacrolimus",1
"valganciclovir",1
"vidaza",1
"verapamil",1
"zoloft",1
"ciprofloxacin",1
"eraxis",1
"mexiletine",1
"gentamicin",1
"house",1
"lapatinib",1
"vinorelbine",1
"aredia",1
"bisoprolol",1
"diltiazem",1
"etoposide",1
"pitavastatin",1
"rifabutin",1
"thyrogen",1
"cephalexin",1
"denosumab",1
"dianeal",1
"doral",1
"extraneal",1
"haloperidol",1
"mumps",1
"fish",1
"nivolumab",1
"oxycontin",1
"flucytosine",1
"multivitamin",1
"posaconazole",1
"sweet",1
"zovirax",1
"iressa",1
"baclofen",1
"ibuprofen",1
"naproxen",1
"esomeprazole",1
"tranexamic",1
"nintedanib",1
"ofev",1
"flumazenil",1
"fosfomycin",1
"urea",1
"japanese",1
"relenza",1
"lyrica",1
"rilutek",1
"riluzole",1
"trileptal",1
"androgen",1
"changes",1
"clinically",1
"conjunctiva",1
"context",1
"duct",1
"ducts",1
"eye",1
"glaucoma",1
"headache",1
"hiv",1
"manual",1
"microscopic",1
"phenomenon",1
"pyomyositis",1
"related",1
"retraction",1
"skull",1
"uremia",1
"basal",1
"sensory",1
"spleen",1
"vein",1
"vomiting",1
"excessive",1
"hypertension",1
"loose",1
"mood",1
"paralysis",1
"schizophrenia",1
"toxic",1
"vegetative",1
"aggregates",1
"chromosome",1
"hla",1
"leukemia",1
"lymphoblastic",1
"lymphocytes",1
"mesenteric",1
"pharyngeal",1
"rupture",1
"strain",1
"tall",1
"valve",1
"burning",1
"congestive",1
"genital",1
"hypercalcemia",1
"neurologic",1
"nose",1
"orientation",1
"migraine",1
"bronchiectasis",1
"child",1
"cirrhosis",1
"intestine",1
"remnant",1
"rubber",1
"valvular",1
"class",1
"diseases",1
"hydrocephalus",1
"exudative",1
"hemothorax",1
"hot",1
"urolithiasis",1
"visceral",1
"osteoarthritis",1
"anti",1
"membrane",1
"ureteral",1
"bacterial",1
"compartment",1
"erosive",1
"febrile",1
"hands",1
"hypersensitivity",1
"shunt",1
"sleep",1
"super",1
"superior",1
"ankle",1
"congenital",1
"disorders",1
"pneumonic",1
"pulmonic",1
"rigid",1
"scratch",1
"traumatic",1
"intracerebral",1
"ventricle",1
"global",1
"bipolar",1
"disorder",1
"aphasia",1
"diverticulitis",1
"parkinsonism",1
"romberg",1
"bird",1
"calcifications",1
"cytoplasmic",1
"aneurysm",1
"digitalis",1
"prolapse",1
"rna",1
"asthenia",1
"sheath",1
"anus",1
"diverticulosis",1
"ossification",1
"pyelonephritis",1
"transverse",1
"articular",1
"association",1
"bare",1
"metal",1
"nephrolithiasis",1
"sclerosis",1
"villous",1
"genu",1
"leiomyoma",1
"perception",1
"taste",1
"gouty",1
"meningitis",1
"ptosis",1
"spasticity",1
"subacute",1
"syphilis",1
"nuclear",1
"mastoiditis",1
"monoclonal",1
"necrotizing",1
"spinal",1
"unilateral",1
"diaphragmatic",1
"reunion",1
"vermis",1
"metacarpal",1
"ring",1
"epileptic",1
"gravis",1
"myasthenia",1
"adhesion",1
"aberrant",1
"akinesia",1
"cardiomyopathy",1
"constrictive",1
"premature",1
"digital",1
"dysmorphic",1
"eczema",1
"hypoglycemia",1
"malar",1
"native",1
"nephritis",1
"callosum",1
"canal",1
"infarcts",1
"clonal",1
"dyskeratosis",1
"follicular",1
"great",1
"host",1
"inclusion",1
"opioid",1
"pancytopenia",1
"phalangeal",1
"selective",1
"versus",1
"vulgaris",1
"bar",1
"leukoplakia",1
"nuchal",1
"paresis",1
"quadriplegia",1
"trismus",1
"antihypertensive",1
"dystonia",1
"fourth",1
"mat",1
"pure",1
"silent",1
"tibia",1
"walker",1
"basilar",1
"hypoplastic",1
"diverticulum",1
"eosinophilia",1
"transposition",1
"tunnel",1
"anesthesia",1
"angioedema",1
"arachnoiditis",1
"bodies",1
"charge",1
"die",1
"dilation",1
"myopathy",1
"ovaries",1
"quadriceps",1
"acoustic",1
"antiphospholipid",1
"endocarditis",1
"hemolytic",1
"horn",1
"hyper",1
"plasma",1
"strep",1
"scrotum",1
"sialadenitis",1
"digits",1
"paronychia",1
"abuse",1
"centrotemporal",1
"cushing",1
"deletion",1
"insects",1
"thalassemia",1
"infections",1
"nmda",1
"blindness",1
"pituitary",1
"sella",1
"unusual",1
"urticaria",1
"axial",1
"abducens",1
"hyperactivity",1
"repetitive",1
"sympathetic",1
"trigeminal",1
"branches",1
"chemical",1
"genetic",1
"lipoma",1
"ulcerative",1
"hypoventilation",1
"organizing",1
"postural",1
"hiccups",1
"hyperreflexia",1
"leukocyte",1
"simplex",1
"bullae",1
"laryngeal",1
"ectopic",1
"pregnancy",1
"diphenhydramine",0
"dopamine",0
"humulin",0
"sodium",0
"ativan",0
"bromocriptine",0
"acyclovir",0
"keppra",0
"phenytoin",0
"haldol",0
"tetracycline",0
"therapeutic",0
"adalat",0
"prescription",0
"allopurinol",0
"oxacillin",0
"spiriva",0
"plaquenil",0
"triple",0
"carboplatin",0
"fdg",0
"brilinta",0
"lipitor",0
"regorafenib",0
"doripenem",0
"iopromide",0
"ultravist",0
"naloxone",0
"methyl",0
"afatinib",0
"erlotinib",0
"abnormality",0
"diabetes",0
"kidney",0
"light",0
"shock",0
"alveolar",0
"cold",0
"metastatic",0
"nerve",0
"sarcoma",0
"autonomic",0
"extrapyramidal",0
"hyperthermia",0
"hypocalcemia",0
"pancreatitis",0
"paranoid",0
"reflux",0
"responsive",0
"cysts",0
"fatty",0
"focal",0
"hyperglycemia",0
"lymphoma",0
"lymphomas",0
"lysis",0
"meningeal",0
"organ",0
"pancreas",0
"spots",0
"irritable",0
"osteoporosis",0
"cellulitis",0
"hormone",0
"hypothyroidism",0
"muscular",0
"nipple",0
"infiltrate",0
"flexure",0
"hepatocellular",0
"hypertensive",0
"cognitive",0
"intrinsic",0
"segmental",0
"cerebellum",0
"pericardium",0
"predominance",0
"shared",0
"erythroid",0
"gastroenteritis",0
"minor",0
"myelodysplastic",0
"delayed",0
"portal",0
"coming",0
"frontotemporal",0
"attack",0
"foreign",0
"lip",0
"conduct",0
"hyperthyroidism",0
"tsh",0
"pancreatic",0
"atrium",0
"sac",0
"adenoma",0
"hyperammonemia",0
"pretibial",0
"alternating",0
"bradykinesia",0
"language",0
"empty",0
"cornea",0
"elbow",0
"neu",0
"subcortical",0
"papillary",0
"sclerotic",0
"nasopharyngeal",0
"diaper",0
"gammopathy",0
"erythematosus",0
"lupus",0
"conjunctivitis",0
"leptomeningeal",0
"malposition",0
"obesity",0
"corpus",0
"variable",0
"dependence",0
"quadriparesis",0
"allergic",0
"coronal",0
"vertex",0
"mandibular",0
"degeneration",0
"wallerian",0
"intermediate",0
"hypoplasia",0
"lacunar",0
"palate",0
"sphincter",0
"susceptibility",0
"diplegia",0
"nails",0
"creatine",0
"granuloma",0
"irritation",0
"neuralgia",0
"optic",0
"skeletal",0
"overhydrated",0
"ramsay",0
"spasm",0
"neutrophil",0
"clozapine",-1
"clozaril",-1
"dantrolene",-1
"vaginal",-1
"highly",-1
"atrovent",-1
"diovan",-1
"fosamax",-1
"norvasc",-1
"baraclude",-1
"catapres",-1
"mircera",-1
"avodart",-1
"gold",-1
"invanz",-1
"azithromycin",-1
"acetylcysteine",-1
"dextromethorphan",-1
"valproate",-1
"amoxicillin",-1
"aqueous",-1
"cat",-1
"glycerol",-1
"nasonex",-1
"topamax",-1
"xyzal",-1
"avelox",-1
"multi",-1
"mdp",-1
"methylene",-1
"neupro",-1
"ortho",-1
"betamethasone",-1
"tofranil",-1
"clindamycin",-1
"enbrel",-1
"salagen",-1
"trimethoprim",-1
"celebrex",-1
"scopolamine",-1
"haemophilus",-1
"ipratropium",-1
"dabigatran",-1
"metformin",-1
"doxycycline",-1
"ioversol",-1
"optiray",-1
"gadobutrol",-1
"ambien",-1
"hypertonic",-1
"zolpidem",-1
"activated",-1
"parathyroid",-1
"rasburicase",-1
"sotalol",-1
"zometa",-1
"pomalidomide",-1
"abatacept",-1
"leflunomide",-1
"tocilizumab",-1
"meningococcal",-1
"adenosine",-1
"cranial",-1
"disc",-1
"origin",-1
"thrush",-1
"alterations",-1
"art",-1
"carotid",-1
"hypoxia",-1
"instability",-1
"job",-1
"myocarditis",-1
"neuroleptic",-1
"overdose",-1
"pointes",-1
"seizures",-1
"tendon",-1
"torsades",-1
"trigger",-1
"wrist",-1
"core",-1
"external",-1
"dysphasia",-1
"ear",-1
"ears",-1
"hyperkalemia",-1
"osteonecrosis",-1
"temporary",-1
"hyperpigmentation",-1
"polydipsia",-1
"septum",-1
"characteristic",-1
"callus",-1
"hyperparathyroidism",-1
"hyperplasia",-1
"proximal",-1
"chinese",-1
"gingival",-1
"death",-1
"laterality",-1
"prostatic",-1
"amniotic",-1
"cystitis",-1
"delay",-1
"fanconi",-1
"group",-1
"myeloid",-1
"obliterans",-1
"occupational",-1
"varices",-1
"hyperuricemia",-1
"neural",-1
"temporal",-1
"dermopathy",-1
"eating",-1
"narrowed",-1
"seafood",-1
"mitral",-1
"tracheal",-1
"face",-1
"vas",-1
"herpes",-1
"epilepsy",-1
"lima",-1
"annular",-1
"asymmetric",-1
"intrahepatic",-1
"kinking",-1
"myxomatous",-1
"patton",-1
"lymphangioma",-1
"blind",-1
"catecholamine",-1
"healthy",-1
"neurogenic",-1
"polymorphic",-1
"stiff",-1
"vasculitis",-1
"western",-1
"bands",-1
"oropharynx",-1
"dyskinesia",-1
"orthostatic",-1
"iga",-1
"myeloma",-1
"fasciitis",-1
"hyperkeratosis",-1
"ldl",-1
"hemophagocytic",-1
"herpetiformis",-1
"regression",-1
"myositis",-1
"rheumatoid",-1
"apraxia",-1
"celiac",-1
"thin",-1
"colonic",-1
"splenic",-1
"tubular",-1
"whipple",-1
"attenuated",-1
"adult",-1
"lymphomatous",-1
"ankylosing",-1
"oro",-1
"transmission",-1
"aneurysmal",-1
"bullous",-1
"causes",-1
"lymphocytic",-1
"capillary",-1
"impossible",-1
"myocardium",-1
"vertical",-1
"mucous",-1
"ovarian",-1
"zygomatic",-1
"arousal",-1
"median",-1
"neutral",-1
"pubic",-1
"dominant",-1
"myoclonic",-1
"shingles",-1
"psoriatic",-1
"proptosis",-1
"reticularis",-1
"cca",-1
"listeria",-1
"gender",-1
"inversion",-1
"perisylvian",-1
"intercellular",-1
"pleuritis",-1
"valves",-1
"cholelithiasis",-1
"complement",-1
"levator",-1
"meningitidis",-1
"neisseria",-1
"sparing",-1
"thrombotic",-1
"colorectal",-1
"thalamic",-1
"intracavitary",-1
"outlet",-1
"giant",-1
"essential",-2
"folic",-2
"lipid",-2
"zithromax",-2
"calcium",-2
"moxifloxacin",-2
"acetaminophen",-2
"valproic",-2
"zoster",-2
"avastin",-2
"minirin",-2
"vasopressin",-2
"mobic",-2
"diffuse",-2
"emphysema",-2
"joints",-2
"matter",-2
"reflex",-2
"specific",-2
"acidosis",-2
"aspiration",-2
"major",-2
"seizure",-2
"stress",-2
"apnea",-2
"cataract",-2
"food",-2
"mandible",-2
"nail",-2
"caries",-2
"cortical",-2
"atherosclerosis",-2
"fatal",-2
"myocardial",-2
"hypertrophy",-2
"chlamydia",-2
"crest",-2
"dermatitis",-2
"dysplasia",-2
"esophageal",-2
"hydronephrosis",-2
"lead",-2
"feet",-2
"arrhythmia",-2
"tricuspid",-2
"cholangiocarcinoma",-2
"arthritis",-2
"absence",-2
"bronchitis",-2
"radiation",-2
"pemphigoid",-2
"jiroveci",-2
"pneumocystis",-2
"gout",-2
"hepatomegaly",-2
"arms",-2
"arch",-2
"cavernous",-2
"orbital",-2
"panhypopituitarism",-2
"thrombocytopenic",-2
"mannitol",-3
"ddavp",-3
"rituximab",-3
"mouth",-3
"herniation",-3
"insipidus",-3
"deep",-3
"maxillary",-3
"splenomegaly",-3
"teeth",-3
"brachial",-3
"neoplasm",-3
"bronchiolitis",-3
"esophagitis",-3
"gray",-3
"mucosal",-3
"ami",-3
"cortex",-3
"fissure",-3
"restrictive",-3
"cheek",-3
"atropine",-4
"propofol",-4
"bladder",-4
"deformity",-4
"malignant",-4
"myoclonus",-4
"sinuses",-4
"carcinoma",-4
"secondary",-4
"return",-4
"squamous",-4
"scalp",-4
"development",-4
"speech",-4
"salivary",-4
"pediatric",-4
"cerebellar",-4
"penicillin",-5
"encephalopathy",-5
"stem",-5
"enzyme",-5
"ganglia",-5
"nexium",-6
"inferior",-6
"frontal",-6
"cardiac",-7
"coma",-7
"spontaneous",-7
"brain",-9
"sudden",-9
"rocephin",-11
"hypothermia",-15
"arrest",-18
