"","1","2","3","4","5","6"
"axford",0.000562315096959138,0,0,0,0,0
"backer",0.000562315096959138,0,0,0,0,0
"bacon",0.000127248749341126,0,6.01392545051976e-06,3.46901408878373e-06,0,2.24942319062164e-06
"bagg",0.000562315096959138,0,0,0,0,0
"bahamian",0.00168694529087741,0,0,0,0,0
"baird",0.000127248749341126,0,6.01392545051976e-06,0,3.02941831813084e-06,2.24942319062164e-06
"balkans",0.000562315096959138,0,0,0,0,0
"balloonborne",0.000562315096959138,0,0,0,0,0
"bands",5.72187091219912e-05,1.76225650431324e-05,0,1.09191450902094e-05,8.17325465836724e-06,4.04590510799914e-06
"banks",0.000217533173809006,0,0,0,2.07152992842864e-05,3.8454143433955e-06
"baringo",0.000562315096959138,0,0,0,0,0
"bartolini",0.000344781923150132,0,0,0,0,6.09483753401714e-06
"basalts",0.000127248749341126,0,0,4.85661972429722e-05,1.8176509908785e-05,1.79953855249731e-05
"basin",0.000127248749341126,0,0,5.20352113317559e-05,3.33236014994392e-05,4.49884638124327e-05
"basins",0.000254497498682252,0,0,2.42830986214861e-05,1.21176732725234e-05,1.34965391437298e-05
"batch",0.000344781923150132,0,0,0,0,6.09483753401714e-06
"beam",0.000114437418243982,0,8.1126703283853e-06,6.23951148011964e-06,1.63465093167345e-05,6.0688576619987e-06
"bedford",0.000435066347618012,0,1.02808734630094e-05,0,0,1.15362430301865e-05
"beginning",0.000114437418243982,2.9370941738554e-06,0,1.09191450902094e-05,9.53546376809511e-06,1.11262390469976e-05
"behrensmeyer",0.000562315096959138,0,0,0,0,0
"belfer",0.000344781923150132,0,0,0,2.46247294176073e-05,0
"bellany",0.000562315096959138,0,0,0,0,0
"belrose",0.000562315096959138,0,0,0,0,0
"bergh",0.000217533173809006,0,0,0,5.1788248210716e-06,3.8454143433955e-06
"berkshire",0.000127248749341126,0,0,1.04070422663512e-05,9.08825495439252e-06,4.49884638124327e-06
"bern",0.000435066347618012,0,0,5.93031875463306e-06,0,2.69179004037685e-05
"betafeooh",0.000562315096959138,0,0,0,0,0
"betaironiii",0.000562315096959138,0,0,0,0,0
"bigbang",0.00168694529087741,0,0,0,0,0
"billows",0.000562315096959138,0,0,0,0,0
"bishop",5.72187091219912e-05,2.9370941738554e-06,0,3.11975574005982e-06,2.72441821945574e-06,1.01147627699978e-06
"bleeker",0.000562315096959138,0,0,0,0,0
"bletchley",0.000562315096959138,0,0,0,0,0
"blume",0.00112463019391828,0,0,0,0,0
"botanic",0.000689563846300264,0,0,0,0,1.21896750680343e-05
"botany",0.000254497498682252,0,2.4055701802079e-05,0,3.02941831813084e-06,2.24942319062163e-05
"boundary",0.000114437418243982,0,3.78591281991314e-05,6.23951148011965e-05,3.81418550723804e-05,1.92180492629959e-05
"bracknell",0.000344781923150132,0,0,1.87986656868336e-05,0,0
"bragailla",0.000562315096959138,0,0,0,0,0
"braking",0.000562315096959138,0,0,0,0,0
"brest",0.000562315096959138,0,0,0,0,0
"bretagne",0.000344781923150132,0,0,9.39933284341679e-06,0,0
"bright",5.72187091219912e-05,2.9370941738554e-06,0,9.35926722017947e-06,8.17325465836724e-06,1.4160667877997e-05
"brightness",0.000127248749341126,0,6.01392545051976e-06,1.04070422663512e-05,0,1.57459623343514e-05
"bristol",0.000254497498682252,0,0,1.73450704439186e-05,1.21176732725234e-05,8.54780812436221e-05
"british",0.000286093545609956,0,5.4084468855902e-06,6.23951148011964e-06,1.36220910972787e-05,6.17000528969868e-05
"browning",0.000254497498682252,0,0,6.93802817756746e-06,6.05883663626168e-06,2.24942319062164e-06
"buckinghamshire",0.000689563846300264,0,0,0,0,6.09483753401714e-06
"bunches",0.000562315096959138,0,0,0,0,0
"bunching",0.000562315096959138,0,0,0,0,0
"burbidge",0.00112463019391828,0,0,0,0,0
"burials",0.000562315096959138,0,0,0,0,0
"bush",0.000217533173809006,0,0,5.93031875463306e-06,5.1788248210716e-06,0
"butzer",0.000562315096959138,0,0,0,0,0
"california",0.000228874836487965,0,0.000243380109851559,0.000209023634584008,0.000306497049688771,0.000996304132844787
"cambridge",0.00102993676419584,0,0.000170366076896091,9.20327943317648e-05,9.80790559004068e-05,0.000485508612959896
"campbell",5.72187091219912e-05,0,5.4084468855902e-06,9.35926722017947e-06,1.63465093167345e-05,1.31491916009972e-05
"canada",0.000114437418243982,0,3.51549047563363e-05,4.99160918409572e-05,4.08662732918362e-05,0.00018813458752196
"canadian",0.000217533173809006,0,0,0,1.03576496421432e-05,3.8454143433955e-06
"canberra",0.000381746248023378,0,0,3.46901408878373e-06,3.02941831813084e-06,2.69930782874596e-05
"cardiff",0.000689563846300264,0,0,0,0,7.31380504082056e-05
"caribbean",0.000127248749341126,0,0,6.93802817756746e-06,3.02941831813084e-06,4.49884638124327e-06
"carleton",0.000562315096959138,0,0,0,0,0
"carolina",5.72187091219912e-05,0,1.62253406567706e-05,2.02784123103888e-05,1.77087184264623e-05,0.000123400105793974
"carpathian",0.000562315096959138,0,0,0,0,0
"catalogue",5.72187091219912e-05,0,2.7042234427951e-06,1.55987787002991e-06,6.81104554863936e-06,4.04590510799914e-06
"catastrophic",0.000127248749341126,0,0,6.93802817756746e-06,1.21176732725234e-05,2.24942319062164e-06
"cavendish",0.000254497498682252,0,0,3.46901408878373e-06,6.05883663626168e-06,1.79953855249731e-05
"celebrated",0.000562315096959138,0,0,0,0,0
"cent",5.72187091219912e-05,0,2.7042234427951e-06,1.87185344403589e-05,4.76773188404755e-05,9.20443412069803e-05
"center",0.000343312254731947,0,0.000105464714269009,0.000157547664873021,0.000205693575568909,0.00114499114556376
"chapman",0.000127248749341126,0,0,6.93802817756746e-06,2.12059282269159e-05,6.74826957186491e-06
"charman",0.000562315096959138,0,0,0,0,0
"chemistry",0.000171656127365974,0,7.57182563982628e-05,9.51525500718246e-05,7.35592919253051e-05,0.000213421494446954
"cheshire",0.000344781923150132,0,0,9.39933284341679e-06,0,0
"chicago",0.000114437418243982,0,5.4084468855902e-06,1.09191450902094e-05,2.1795345755646e-05,9.91246751459788e-05
"chopper",0.000562315096959138,0,0,0,0,0
"ciotti",0.000562315096959138,0,0,0,0,0
"circles",0.000435066347618012,0,0,0,5.1788248210716e-06,7.690828686791e-06
"clayton",5.72187091219912e-05,0,2.7042234427951e-06,3.11975574005982e-06,5.44883643891149e-06,1.31491916009972e-05
"climatic",0.000127248749341126,0,0,1.04070422663512e-05,2.72647648631775e-05,6.74826957186491e-06
"cmyear",0.000562315096959138,0,0,0,0,0
"cmyr",0.000562315096959138,0,0,0,0,0
"cocking",0.000562315096959138,0,0,0,0,0
"coherent",5.72187091219912e-05,0,8.1126703283853e-06,1.55987787002991e-05,3.40552277431968e-05,2.73098594789942e-05
"coincidences",0.000562315096959138,0,0,0,0,0
"cold",5.72187091219912e-05,0,8.1126703283853e-06,3.27574352706281e-05,3.40552277431968e-05,3.23672408639931e-05
"cole",5.72187091219912e-05,2.05596592169878e-05,0,3.11975574005982e-06,4.08662732918362e-06,3.03442883099935e-06
"college",0.000514968382097921,0,8.1126703283853e-05,6.70747484112862e-05,6.53860372669379e-05,0.000295351072883937
"colligative",0.000562315096959138,0,0,0,0,0
"collision",0.000127248749341126,0,0,1.38760563551349e-05,2.42353465450467e-05,1.79953855249731e-05
"colorado",5.72187091219912e-05,0,1.89295640995657e-05,1.87185344403589e-05,2.45197639751017e-05,6.67574342819857e-05
"columbus",5.72187091219912e-05,0,2.7042234427951e-06,1.55987787002991e-06,4.08662732918362e-06,8.09181021599827e-06
"cometary",0.000127248749341126,0,0,6.93802817756746e-06,9.08825495439252e-06,6.74826957186491e-06
"comment",0.000629405800341904,0,0.000332619483463797,0.000341613253536551,0.000516277252586864,0.000383349508982918
"comments",0.000562315096959138,0,0,0,0,0
"committee",0.000217533173809006,0,0,5.93031875463306e-06,0,7.690828686791e-06
"communications",0.000171656127365974,0,2.7042234427951e-06,6.23951148011964e-06,2.72441821945574e-06,5.05738138499892e-06
"compression",5.72187091219912e-05,2.9370941738554e-06,0,7.79938935014956e-06,2.72441821945574e-06,3.03442883099935e-06
"conceived",0.000562315096959138,0,0,0,0,0
"concepts",0.000127248749341126,6.53180692216218e-06,0,2.77521127102698e-05,3.02941831813084e-06,0
"conceptual",0.000127248749341126,0,0,1.38760563551349e-05,1.21176732725234e-05,8.99769276248654e-06
"condensed",5.72187091219912e-05,0,1.62253406567706e-05,1.09191450902094e-05,9.53546376809511e-06,1.71950967089963e-05
"conference",0.000562315096959138,0,0,0,0,0
"confirms",0.000127248749341126,0,1.20278509010395e-05,1.04070422663512e-05,0,1.57459623343514e-05
"conrath",0.000562315096959138,0,0,0,0,0
"consideration",0.000127248749341126,0,6.01392545051976e-06,3.46901408878373e-06,0,6.74826957186491e-06
"constitution",0.000217533173809006,1.11661976863638e-05,2.05617469260188e-05,0,0,0
"constrain",0.000127248749341126,0,0,1.73450704439186e-05,2.12059282269159e-05,1.57459623343514e-05
"contamination",5.72187091219912e-05,0,5.4084468855902e-06,1.09191450902094e-05,2.72441821945574e-06,3.03442883099935e-06
"contemporary",0.000127248749341126,0,0,3.46901408878373e-06,1.8176509908785e-05,6.74826957186491e-06
"contexts",0.000127248749341126,0,0,3.46901408878373e-06,9.08825495439252e-06,1.34965391437298e-05
"continental",0.000400530963853939,0,5.4084468855902e-06,3.89969467507478e-05,2.86063913042853e-05,1.71950967089963e-05
"contracting",0.000344781923150132,1.7698004608526e-05,0,0,0,0
"contributed",5.72187091219912e-05,0,8.1126703283853e-06,1.24790229602393e-05,1.49843002070066e-05,2.62983832019944e-05
"contributions",5.72187091219912e-05,1.17483766954216e-05,0,4.67963361008973e-06,1.0897672877823e-05,8.09181021599827e-06
"controllers",0.000435066347618012,0,0,5.93031875463306e-06,2.07152992842864e-05,0
"convection",0.000127248749341126,0,0,7.28492958644583e-05,3.33236014994392e-05,2.4743655096838e-05
"convenient",0.000127248749341126,2.61272276886487e-05,6.01392545051976e-06,1.38760563551349e-05,0,0
"convincing",0.000127248749341126,4.57226484551353e-05,0,6.93802817756746e-06,0,2.24942319062164e-06
"cook",0.000114437418243982,0,2.7042234427951e-06,1.55987787002991e-06,8.17325465836724e-06,1.11262390469976e-05
"coral",0.000217533173809006,0,0,2.37212750185322e-05,0,5.76812151509325e-05
"cores",5.72187091219912e-05,8.81128252156619e-06,0,2.18382901804188e-05,1.22598819875509e-05,6.0688576619987e-06
"cornell",5.72187091219912e-05,0,1.08168937711804e-05,1.87185344403589e-05,1.22598819875509e-05,5.96771003429872e-05
"cornellsydney",0.00168694529087741,0,0,0,0,0
"corona",0.000217533173809006,0,0,5.93031875463306e-06,5.1788248210716e-06,0
"corotating",0.000562315096959138,0,0,0,0,0
"corporation",5.72187091219912e-05,0,2.7042234427951e-06,7.79938935014956e-06,2.72441821945574e-06,5.05738138499892e-06
"correspondence",0.000127248749341126,0,6.01392545051976e-06,0,9.08825495439252e-06,4.49884638124327e-06
"corvallis",0.000127248749341126,0,6.01392545051976e-06,1.38760563551349e-05,0,1.57459623343514e-05
"cosmic",0.000228874836487965,0,2.7042234427951e-06,2.49580459204786e-05,1.77087184264623e-05,1.61836204319965e-05
"cosmological",0.000254497498682252,0,0,1.38760563551349e-05,1.8176509908785e-05,8.99769276248654e-06
"cosmology",0.000508994997364504,0,0,1.04070422663512e-05,1.21176732725234e-05,3.82401942405678e-05
"council",0.000114437418243982,0,5.4084468855902e-06,7.79938935014956e-06,6.81104554863936e-06,2.12410018169955e-05
"counts",0.000228874836487965,2.9370941738554e-06,1.08168937711804e-05,1.55987787002991e-06,0,5.05738138499892e-06
"courses",0.000217533173809006,0,1.02808734630094e-05,0,0,3.8454143433955e-06
"crab",0.00112463019391828,0,0,0,0,0
"craddock",0.000344781923150132,0,0,0,8.20824313920244e-06,0
"crain",0.000689563846300264,0,0,0,0,1.82845126020514e-05
"creep",0.000381746248023378,0,1.20278509010395e-05,0,9.08825495439252e-06,2.24942319062164e-06
"cuba",0.000562315096959138,0,0,0,0,0
"cueva",0.000562315096959138,0,0,0,0,0
"cummins",0.000217533173809006,0,0,0,5.1788248210716e-06,3.8454143433955e-06
"curiosity",0.000127248749341126,6.53180692216218e-06,0,3.46901408878373e-06,0,2.24942319062164e-06
"curiosityoriented",0.00112463019391828,0,0,0,0,0
"curve",0.000127248749341126,3.26590346108109e-05,0,0,1.21176732725234e-05,1.12471159531082e-05
"curved",5.72187091219912e-05,0,5.4084468855902e-06,6.23951148011964e-06,1.49843002070066e-05,4.04590510799914e-06
"danger",0.000217533173809006,0,1.02808734630094e-05,0,1.55364744632148e-05,0
"dastrophysique",0.000217533173809006,0,0,0,5.1788248210716e-06,2.69179004037685e-05
"dating",0.000114437418243982,0,5.4084468855902e-06,1.40389008302692e-05,4.08662732918362e-06,1.31491916009972e-05
"deals",0.000562315096959138,0,0,0,0,0
"deepsea",0.000344781923150132,0,0,3.75973313736672e-05,0,0
"deerenberg",0.000562315096959138,0,0,0,0,0
"deflexion",0.000562315096959138,0,0,0,0,0
"degassing",0.000127248749341126,0,1.20278509010395e-05,0,6.05883663626168e-06,2.24942319062164e-06
"delaney",0.000344781923150132,0,0,0,8.20824313920244e-06,0
"densities",5.72187091219912e-05,0,1.08168937711804e-05,1.55987787002991e-05,1.22598819875509e-05,1.01147627699978e-05
"denver",5.72187091219912e-05,0,5.4084468855902e-06,3.11975574005982e-06,2.72441821945574e-06,3.03442883099935e-06
"department",0.00211709223751368,0,0.00080045013906735,0.000772139545664806,0.000608907472048359,0.00262781536764544
"depositional",0.000435066347618012,0,0,5.93031875463306e-06,0,3.8454143433955e-06
"deposits",0.000114437418243982,0,8.1126703283853e-06,1.09191450902094e-05,2.86063913042853e-05,4.04590510799914e-06
"derive",5.72187091219912e-05,0,1.35211172139755e-05,1.7158656570329e-05,9.53546376809511e-06,9.10328649299805e-06
"developments",0.000254497498682252,0,0,1.73450704439186e-05,9.08825495439252e-06,4.49884638124327e-06
"deviations",5.72187091219912e-05,2.9370941738554e-06,0,3.11975574005982e-06,4.08662732918362e-06,1.01147627699978e-06
"devoted",5.72187091219912e-05,5.87418834771079e-06,0,1.55987787002991e-06,1.36220910972787e-06,2.02295255399957e-06
"diagram",5.72187091219912e-05,0,2.7042234427951e-06,1.55987787002991e-06,1.49843002070066e-05,2.02295255399957e-06
"diapiric",0.000562315096959138,0,0,0,0,0
"diapirs",0.000562315096959138,0,0,0,0,0
"diego",5.72187091219912e-05,0,2.7042234427951e-05,2.96376795305683e-05,1.63465093167345e-05,6.27115291739866e-05
"dimensions",5.72187091219912e-05,0,2.7042234427951e-06,2.33981680504487e-05,6.81104554863936e-06,1.11262390469976e-05
"dipolar",0.000127248749341126,0,0,3.46901408878373e-06,2.12059282269159e-05,4.49884638124327e-06
"discontinuities",0.000254497498682252,0,6.01392545051976e-06,1.73450704439186e-05,0,2.24942319062164e-06
"discontinuous",0.000217533173809006,0,0,5.93031875463306e-06,1.03576496421432e-05,0
"discoveries",0.000254497498682252,0,0,2.42830986214861e-05,1.21176732725234e-05,6.74826957186491e-06
"discusses",0.000562315096959138,0,0,0,0,0
"discussion",0.000114437418243982,0,2.7042234427951e-06,1.55987787002991e-06,4.63151097307477e-05,1.01147627699978e-06
"dispersal",0.000127248749341126,0,0,3.12211267990536e-05,2.12059282269159e-05,2.4743655096838e-05
"district",0.000217533173809006,0,0,0,5.1788248210716e-06,3.46087290905595e-05
"ditton",0.000562315096959138,0,0,0,0,0
"dixon",5.72187091219912e-05,2.9370941738554e-06,8.1126703283853e-06,0,1.36220910972787e-06,1.01147627699978e-06
"doi",0.00509246511185722,0,0.00167121008764737,0.00155363835854979,0.00248603162525337,0.0018934835905436
"domes",0.000217533173809006,0,0,0,5.1788248210716e-06,3.8454143433955e-06
"dominating",0.000217533173809006,0,0,5.93031875463306e-06,0,3.8454143433955e-06
"douglas",0.000127248749341126,0,0,6.93802817756746e-06,6.05883663626168e-06,6.74826957186491e-06
"drastically",0.000127248749341126,1.30636138443244e-05,0,0,1.8176509908785e-05,4.49884638124327e-06
"drever",0.000562315096959138,0,0,0,0,0
"drew",0.000127248749341126,1.95954207664865e-05,0,0,3.02941831813084e-06,2.24942319062164e-06
"drops",0.000217533173809006,0,0,1.77909562638992e-05,2.5894124105358e-05,0
"duke",5.72187091219912e-05,0,1.35211172139755e-05,7.79938935014956e-06,8.17325465836724e-06,2.93328120329937e-05
"dunedin",0.000127248749341126,0,6.01392545051976e-06,3.46901408878373e-06,0,4.49884638124327e-06
"durham",5.72187091219912e-05,0,1.08168937711804e-05,1.09191450902094e-05,1.0897672877823e-05,3.94475748029916e-05
"dustfilled",0.000562315096959138,0,0,0,0,0
"dutch",0.000344781923150132,0,0,9.39933284341679e-06,0,0
"earthquakes",0.000381746248023378,0,0,2.77521127102698e-05,6.96766213170093e-05,1.79953855249731e-05
"east",0.000171656127365974,0,2.7042234427951e-06,3.4317313140658e-05,2.99686004140132e-05,5.36082426809885e-05
"eastern",0.000254497498682252,0,0,4.50971831541885e-05,2.12059282269159e-05,3.37413478593245e-05
"easy",5.72187091219912e-05,2.9370941738554e-06,0,4.67963361008973e-06,2.72441821945574e-06,4.04590510799914e-06
"echegaray",0.000562315096959138,0,0,0,0,0
"eclipse",0.00137912769260053,0,0,0,2.46247294176073e-05,0
"eclipsea",0.000562315096959138,0,0,0,0,0
"eclipses",0.000562315096959138,0,0,0,0,0
"economic",0.000127248749341126,0,0,1.04070422663512e-05,1.21176732725234e-05,1.34965391437298e-05
"edinburgh",0.000343312254731947,0,8.1126703283853e-06,7.79938935014956e-06,1.0897672877823e-05,5.25967664039888e-05
"education",5.72187091219912e-05,0,5.4084468855902e-06,1.55987787002991e-06,2.72441821945574e-06,1.71950967089963e-05
"egelstaff",0.000562315096959138,0,0,0,0,0
"eighteenth",0.000344781923150132,0,1.62947989135292e-05,0,0,0
"eilon",0.000562315096959138,0,0,0,0,0
"ejected",0.000127248749341126,0,0,6.93802817756746e-06,6.05883663626168e-06,1.57459623343514e-05
"electromagnetic",0.000508994997364504,0,0,1.73450704439186e-05,9.08825495439252e-06,4.27390406218111e-05
"electronics",0.000127248749341126,0,0,4.16281690654047e-05,1.8176509908785e-05,3.82401942405678e-05
"electronpositron",0.000217533173809006,1.11661976863638e-05,0,0,0,3.8454143433955e-06
"electrons",0.000114437418243982,2.9370941738554e-06,0,7.64340156314657e-05,5.04017370599313e-05,3.64131459719922e-05
"ellis",0.000127248749341126,0,1.20278509010395e-05,0,9.08825495439252e-06,2.24942319062163e-05
"emerges",5.72187091219912e-05,0,5.4084468855902e-06,3.11975574005982e-06,6.81104554863936e-06,2.02295255399957e-06
"emissivity",0.000562315096959138,0,0,0,0,0
"emitted",0.000254497498682252,0,0,1.38760563551349e-05,1.21176732725234e-05,1.79953855249731e-05
"emitting",0.000254497498682252,6.53180692216218e-06,0,0,6.05883663626168e-06,8.99769276248654e-06
"encountered",5.72187091219912e-05,8.81128252156619e-06,2.7042234427951e-06,4.67963361008973e-06,0,2.02295255399957e-06
"encouragement",0.000562315096959138,0,0,0,0,0
"endean",0.000562315096959138,0,0,0,0,0
"energies",0.000127248749341126,0,0,2.77521127102698e-05,3.33236014994392e-05,3.59907710499462e-05
"engineering",0.000171656127365974,0,3.24506813135412e-05,7.64340156314657e-05,5.04017370599313e-05,0.000252869069249946
"ensure",5.72187091219912e-05,0,1.62253406567706e-05,4.67963361008973e-06,8.17325465836724e-06,1.01147627699978e-05
"entrapped",0.000344781923150132,0,0,1.87986656868336e-05,0,0
"equator",0.000127248749341126,0,0,1.04070422663512e-05,3.02941831813084e-06,6.74826957186491e-06
"equipment",0.000344781923150132,0,0,1.87986656868336e-05,0,0
"ethiopia",0.000344781923150132,0,0,0,3.28329725568098e-05,0
"ethylene",0.000254497498682252,0,0,3.46901408878373e-06,9.08825495439252e-06,2.24942319062164e-06
"euclidean",0.000344781923150132,0,0,9.39933284341679e-06,0,0
"europe",0.000254497498682252,0,0,1.73450704439186e-05,4.54412747719626e-05,2.02448087155947e-05
"european",5.72187091219912e-05,0,2.43380109851559e-05,1.7158656570329e-05,2.72441821945574e-05,6.47344817279862e-05
"evaluating",5.72187091219912e-05,0,2.7042234427951e-06,4.67963361008973e-06,2.72441821945574e-06,1.01147627699978e-06
"everett",0.000344781923150132,0,0,0,0,6.09483753401714e-06
"examines",0.000127248749341126,1.30636138443244e-05,0,3.46901408878373e-06,0,2.24942319062164e-06
"exhibition",0.000562315096959138,0,0,0,0,0
"expanding",0.000127248749341126,0,0,6.93802817756746e-06,1.21176732725234e-05,2.02448087155947e-05
"explains",5.72187091219912e-05,0,5.4084468855902e-06,7.79938935014956e-06,1.49843002070066e-05,1.01147627699978e-05
"explosion",0.000127248749341126,0,0,1.04070422663512e-05,3.02941831813084e-05,1.79953855249731e-05
"explosions",0.000127248749341126,0,0,6.93802817756746e-06,1.51470915906542e-05,6.74826957186491e-06
"explosive",0.000127248749341126,0,6.01392545051976e-06,0,2.12059282269159e-05,8.99769276248654e-06
"extinction",0.000508994997364504,0,0,5.55042254205397e-05,3.63530198175701e-05,5.84850029561625e-05
"facts",0.000562315096959138,0,0,0,0,0
