"Abbreviation","Meaning"
"ad.","right ear (from Latin auris dexter)"
"AD","Alzheimer's disease  acute distress  right ear (from Latin auris dexter)  as directed"
"ADA","adenosine deaminase American Dental Association American Diabetes Association; e.g., ""ADA diet"""
"ADC","AIDS dementia complex"
"ADCC","antibody-dependent cell-mediated cytotoxicity"
"ADD","attention deficit disorder"
"ADH","antidiuretic hormone"
"ADHD","attention deficit hyperactivity disorder"
"ADHF","acute decompensated heart failure"
"ADHR","autosomal dominant hypophosphatemic rickets"
"ADLs","activities of daily living"
"ad lib","as desired (from Latin ad libitum)"
"adm","admission"
"Adn","adnexae (for example, adnexae of the uterus)"
"ADP","adenosine diphosphate"
"ad part. dolent","to the painful parts (from Latin ad partes dolentes)"
"ADR","adverse drug reaction"
"A+E","Accident and Emergency"
"AEB","as evidenced by (commonly used by nurses)"
"AED","automated external defibrillator  antiepileptic drug(s)"
"AEM","ambulatory electrocardiogram monitoring"
"AF","atrial fibrillation atrial flutter amniotic fluid"
"AF-AFP","amniotic fluid alpha fetoprotein"
"AFB","acid-fast bacilli"
"AFI","amniotic fluid index"
"AFib","atrial fibrillation"
"AFL","atrial flutter"
"AFNTR","acute febrile nonhemolytic transfusion reaction"
"AFO","ankle-foot orthosis"
"AFP","alpha-fetoprotein"
"AFSOF","anterior fontanelle soft, open, flat"
"Ag","antigen"
"AGA","anti-gliadin antibodies  appropriate gestational age (see birth weight)"
"AGC","atypical glandular cells"
"AGES criteria","age, grade, extent, size (for tumors)"
"AGN","acute glomerulonephritis"
"AH","auditory hallucinations"
"a.h.","every other hour (from Latin alternis horis)"
"AHD","arteriosclerotic heart disease"
"AHF","antihemophilic factor"
"AHG","antihemophilic globulin"
"AHH","aryl hydrocarbon hydroxylase"
"AHR","airway hyper-reactivity"
"AHT","antihyaluronic acid test"
"AI","artificial insemination aortic insufficiency
aromatase inhibitors"
"AICD","automated implantable cardioverter-defibrillator"
"AID","artificial insemination by donor"
"AIDS","acquired immune deficiency syndrome"
"AIH","artificial insemination by husband"
"AIHD","artificial insemination by pooled husband and donor semen"
"AIPD","acute infectious and parasitical diseases  autoimmune progesterone dermatitis acute inflammatory demyelinating polyneuropathy"
"AIIRB","angiotensin II receptor antagonist"
"AIN","allergic interstitial nephritis"
"AIR","anterior interval release acute inpatient rehabilitation"
"AIS","adenocarcinoma in situ  androgen insensitivity syndrome"
"AK","acanthamoeba keratitis"
"aka","also known as"
"AKA","above-knee amputation also known as"
"AKI","acute kidney injury, previously called Acute Renal Failure (ARF)"
"ALA","aminolevulinic acid"
"Alc","alco123"
"ALCAPA","anomalous left coronary artery from the pulmonary artery"
"ALF","assisted living facility"
"ALG","antilymphocytic globulin"
"ALI","acute limb injury acute lung injury"
"Alk phos","alkaline phosphatase (sometimes abbreviated as ALP)"
"ALL","acute lymphoblastic leukemia allergies"
"ALP","alkaline phosphatase (sometimes abbreviated as Alk phos)"
"ALPS","autoimmune lymphoproliferative syndrome"
"ALS","amyotrophic lateral sclerosis, also known as motor neurone disease ('MND), Lou Gehrig's disease or Charcot disease advanced life support"
"ALT","alanine transaminase"
"altern. d.","every other day (from Latin alterno die)"
"AMA","advanced maternal age (often defined as 35 years or greater) against medical advice antimitochondrial antibody American Medical Association"
"Amb","ambulate"
"AMC","arthrogryposis multiplex congenita"
"AMI","acute mesenteric ischemia acute myocardial infarction"
"AML","acute myeloid leukemia"
"AMO","advanced medical optics"
"AMP","adenosine monophosphate"
"Amp","ampule ampere"
"AMPA receptor","alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor of the brain"
"AMS","acute mountain sickness  atypical measles syndrome altered mental status"
"Amt","amount"
"ANA","antinuclear antibody"
"ANCA","antineutrophil cytoplasmic antibody"
"AND","allowing natural death"
"ANDI","aberrations of normal development and involution (of breast)"
"ANF","atrial natriuretic factor"
"ANP","atrial natriuretic peptide"
"ANS","autonomic nervous system"
"Ant","anterior"
"Anti-","refers to an antibody to the suffixed antigen"
"ANTR","asymmetrical tonic neck reflex"
"ANUG","acute necrotizing ulcerative gingivitis"
"A&O or A/O","aware and oriented or alert and oriented"
"A&Ox3","alert and oriented, times 3 (to person, place, and time)"
"A&Ox4","alert and oriented, times 4 (to person, place, time, and circumstances) (often used interchangeably with A&Ox3)"
"AODM","adult-onset diabetes mellitus (now called diabetes mellitus type 2)"
"AOM","acute otitis media"
"a.p.","before a meal (from Latin ante prandium)"
"AP","alkaline phosphatase anteroposterior  angina pectoris  action potential  angina pectoris  area postrema"
"A&P","auscultation and percussion anatomy and physiology"
"A/P","anatomy and physiology assessment and plan]]"
"APACHE II","Acute Physiology and Chronic Health Evaluation II"
"APAP","paracetamol (aka acetaminophen) (from its chemical name, N-acetyl-para-aminophenol) automatic positive airway pressure"
"APC","atrial premature contraction antigen-presenting cell  activated protein Cargon plasma coagulation"
"APD","adult polycystic disease  automated peritoneal dialysis"
"APKD","adult polycystic kidney disease"
"APECED","autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy"
"APGAR","appearance, pulse, grimace, activity, respiration (used to assess newborns)"
"APH","antepartum haemorrhage"
"APLS","antiphospholipid syndrome"
"APMPPE","acute posterior multifocal placoid pigment epitheliopathy"
"applic.","applicandus (Latin meaning ""to be applied"")"
"appy","appendectomy"
"APP","as per protocol (e.g., per institutional clinical protocol or per scientific protocol)"
"APR","abdominoperineal resection"
"APS","autoimmune polyendocrine/polyglandular syndrome  antiphospholipid syndrome"
"APSAC","anisoylated plasminogen streptokinase activator complex"
"aPTT","activated partial thromboplastin time"
"aq.","water (from Latin aqua)"
"aq. bull.","boiling water (from Latin aqua bulliens)"
"aq. calid.","warm or hot water (from Latin aqua calida)"
"aq. dist.","distilled water (from Latin aqua distillata)"
"aq. gel.","cold water (from Latin aqua gelida)"
"AR","aortic regurgitation attributable risk"
"ARB","angiotensin II receptor antagonist"
"ARBI","alcohol-related brain injury (such as a fetal alcohol spectrum disorder or alcohol-related dementia)"
"ARC","AIDS-related complex"
"ARD","absolute risk difference alcohol-related dementia"
"ARDS","acute respiratory distress syndrome"
"ARF","acute renal failure"
"Arg","arginine"
"ARM","artificial rupture of membranes (also abbreviated as AROM)"
"ARMD","age-related macular degeneration"
"ARMS","alveolar rhabdomyosarcoma"
"AROM","active range of motion artificial rupture of membranes"
"ART","antiretroviral therapy  assuming room temperature (that is, the patient has died) assisted reproductive technology"
"ARVC","arrhythmogenic right ventricular cardiomyopathy"
"ARVD","arrhythmogenic right ventricular dysplasia"
"AS","aortic stenosis atherosclerosis ankylosing spondylitis"
"ASA","acetylsalicylic acid (aspirin) American Society of Anesthesiologists (physical status class)"
"ASAP","as soon as possible"
"ASB","asymptomatic bacteriuria"
"ASC","ambulatory surgery center  atypical squamous cells"
"ASCA","anti–Saccharomyces cerevisiae antibodies"
"ASC-H","atypical squamous cells—cannot exclude HSIL"
"ASCAD","arteriosclerotic coronary artery disease"
"ASCUS  ASC-US","atypical squamous cells of undetermined significance"
"ASCVD","arteriosclerotic vascular disease (arteriosclerosis)"
"ASD","atrial septal defect"
"ASGUS","atypical squamous glandular cells of undetermined significance"
"ASH  ASHD","arteriosclerotic heart disease (coronary heart disease)"
"ASH","alcoholic steatohepatitis"
"ASIS","anterior superior iliac spine"
"ASO","antistreptolysin-O"
"ASOT","antistreptolysin-O titre"
"ASPECTS","Alberta Stroke Program Early CT Score, ASPECT Score"
"Ass","assessment"
"AST","aspartate transaminase"
"ASX","asymptomatic"
"A-T","ataxia-telangiectasia"
"AT","antithrombin angiotensin"
"AT-III","antithrombin III"
"ATA","antitransglutaminase antibodies"
"ATB","antibiotic"
"ATCC","ATCC (company) (formerly the American Type Culture Collection)"
"ATG","anti-thymocyte globulin"
"ATLS","Advanced trauma life support"
"ATN","acute tubular necrosis"
"ATNR","asymmetrical tonic neck reflex"
"ATP","acute thrombocytopenic purpura adenosine triphosphate antitachycardia pacing"
"Atp","atypical"
"ATRA","all-trans retinoic acid"
"ATS","antitetanus serum, that is, antitetanus immunoglobulins"
"AU","each ear (from Latin auris utraque)"
"AUC","area under the curve (pharmacology)"
"aur.","ear (from Latin auris)"
"aur. dextro.","to right ear (from Latin auris dextrae)"
"aur. laev","to left ear (from Latin auris laevae)"
"aurist.","ear drops (from Latin auristillae)"
"AV","arteriovenous atrioventricular"
"AVF","arteriovenous fistula"
"AVM","arteriovenous malformation"
"AVN","avascular necrosis atrioventricular node"
"AVR","aortic valve replacement"
"AVSS","Afebrile, vital signs stable"
"A&W  A/W","alive and well"
"Ax","axillary"
"AXR","abdominal x-ray"
"AYA","adolescents and young adults"
"AZT","azidothymidine"
"Bx","biopsy"
"Ba","barium"
"BAC","blood alcohol content"
"BAD","Bipolar affective disorder"
"BADLs","Basic ADLs basic activities of daily living"
"BAL","bronchoalveolar lavage British anti-Lewisite blood alcohol level"
"BAO","basic acid output"
"BAT","brown adipose tissue"
"BAV","bicuspid aortic valve"
"BBA","bilateral breast augmentation"
"BBB","blood–brain barrier"
"BBB L","left bundle branch block"
"BBB R","right bundle branch block"
"BBT","basal body temperature"
"BC","bone conduction blood culture"
"BCC","basal cell carcinoma blind carbon copy"
"BCG","bacille Calmette–Guérin (a tuberculosis vaccination)"
"BCP","birth control pill"
"BCP","blood chemistry profile"
"BCX  BCx","blood culture"
"BDR","Background Diabetic Retinopathy"
"BBMF","""bone break, me fix"" (orthopedic consent form)"
"BD","bipolar disorder  twice a day (from Latin bis in die)"
"BDD","body dysmorphic disorder"
"BDI","Beck Depression Inventory"
"BE","barium enema base excess"
"BEP","bleomycin, etoposide, and cisplatin (chemotherapy regimen)"
"BFP","bundle forming pilus"
"BG","blood glucose"
"BGAT","blood glucose awareness training (to help patients with diabetic hypoglycemia)"
"BGL","blood glucose level"
"BIB","brought in by"
"BIBA","brought in by ambulance"
"BID  bid  b.i.d.","twice a day (from Latin bis in die)"
"Bilat eq","bilaterally equal"
"BiPAP","bilevel positive airway pressure"
"BIS","Bispectral index"
"BiVAD","bilateral ventricular assist device (left and right)"
"BK","bradykinin"
"BKA","below-the-knee amputation"
"b/l","bilateral"
"BL","Burkitt's lymphoma"
"bl.cult","blood culture"
"bld","blood"
"BLE","Bilateral Lower Extremity (in/on both legs)."
"BLS","basic life support"
"BM","bone marrow bowel movement breast milk"
"BMBx","Bone marrow biopsy"
"BMC","bone mineral content"
"BMD","bone mineral density (also termed bone mass measurement)"
"BMI","body mass index"
"BMP","basic metabolic panel"
"BMR","basal metabolic rate"
"BMS","Bare-metal stent"
"BMT","bone marrow transplantation"
"BNO","bowel not open"
"BNP","brain natriuretic peptide"
"BO","bowel open"
"B/O","because of"
"BOA","born out of asepsis"
"BOI","born on island (i.e. a local patient)"
"BOLT","Bilateral Orthotopic Lung Transplant"
"BOM","bilateral otitis media"
"BOOP","bronchiolitis obliterans organizing pneumonia"
"BP","blood pressure British Pharmacopoeia"
"BPAD","bipolar affective disorder"
"BPCA","best pharmaceuticals for children act"
"BPD","biparietal diameter borderline personality disorder bronchopulmonary dysplasia"
"BPH","benign prostatic hyperplasia/benign prostatic hypertrophy"
"BPM","beats per minute"
"BPP","biophysical profile"
"BPPV","benign paroxysmal positional vertigo"
"BPSD","Behavioural and Psychological Symptoms of Dementia"
"BR","bedrest bathroom"
"BRA","bilateral renal agenesis"
"BRAT","The BRAT diet: bananas, rice, applesauce, toast (helps digestion in some GI disorders)"
"BRATY","another version of the BRAT diet: bananas, rice, applesauce, toast, yogurt (helps digestion in some GI disorders)"
"BRB","bright red blood (color is important as an indicator of source, for example in gastrointestinal bleeding)"
"BRBPR","bright red blood per rectum"
"BRCA1 (gene)  BRCA1 (protein)","breast cancer 1 (a human gene and its protein)"
"BRCA2 (gene)  BRCA2 (protein)","breast cancer 2 (a human gene and its protein)"
"BRP","bathroom privileges"
"BRTO","Balloon-Occluded Retrograde Transvenous Obliteration"
"BRVO","Branch retinal vein occlusion"
"BS","breath  breath sound  bowel sounds (on auscultation using a stethoscope)blood sugar
body secretions"
"BS x 4 quads","bowel signs in all 4 quadrants (also sometimes ""BS + all 4 quads"")"
"BSx","B-symptoms"
"BSA","body surface area bovine serum albumin"
"BSC","bedside commode"
"BSE","bovine spongiform encephalopathy breast self-examination"
"BSL","blood sugar level"
"BSO","bilateral salpingo-oophorectomy"
"BSP","bromsulphthalein"
"BSU","Bartholin, Skene and urethra (glands)"
"BT","bleeding time brachytherapy"
"BTB","breakthrough bleeding of menstrual period"
"BTL","bilateral tubal ligation"
"BTP","breakthrough pain"
"BTT","bridge to transplantation"
"BUN","blood urea nitrogen"
"BV","bacterial vaginosis"
"BVM","bag valve mask (Ambu bag)"
"BVP","biventricular pacing (see artificial pacemaker)  bleomycin, vincristine, and cisplatin (chemotherapy regimen)"
"BW","blood work (blood tests) birth weight"
"Bx","biopsy"
"BZDs","benzodiazepines"
"c","(c with a bar over it) with (from Latin cum) means with"
"C","cytosine cervical vertebrae"
"C1","atlas – first cervical vertebra of the spine"
"C2","axis – second cervical vertebra of the spine"
"CA","carcinoma cancer"
"Ca","calcium carcinoma cancer"
"CAA","coronary artery aneurysm"
"c/b","complicated by"
"CABG","coronary artery bypass graft (pronounced ""cabbage"")"
"CABP","coronary artery bypass procedure"
"CAD","coronary artery disease"
"CADASIL","cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy"
"CAG","coronary artery graft coronary angiography"
"CAGE","cut down, annoyed, guilty, eye opener (screening for alcoholism)"
"CAGS","coronary artery graft surgery"
"cAMP","cyclic adenosine monophosphate"
"CAH","chronic active hepatitis congenital adrenal hyperplasia"
"CALLA","common acute lymphocytic leukemia antigen"
"CAM","cell adhesion molecule complementary and alternative medicine"
"CAMP","cyclic adenosine monophosphate"
"CAP","community-acquired pneumonia"
"CAPD","continuous ambulatory peritoneal dialysis"
"CAO","conscious, alert, and oriented (no altered level of consciousness)"
"CaOx","calcium oxalate"
"Caps","capsule"
"CAT / CT","computed axial tomography / computed tomography"
"Cath","catheter"
"CBA","cost–benefit analysis (of treatment methods)"
"CBC","complete blood count"
"CBC/DIFF","complete blood count/differential"
"CBD","common bile duct"
"CBE","clinical breast examination"
"CBF","cerebral blood flow"
"CBI","continuous bladder irrigation"
"CBS","chronic brain syndrome"
"CC  cc","cubic centimeter (use mL instead—see the list of abbreviations used in prescriptions) chief complaint cardiac catheter carbon copy"
"CCA","clear cell adenocarcinoma"
"CCB","calcium channel blocker"
"CCCU","critical coronary care unit"
"CCE  C/C/E","clubbing, cyanosis, and edema (general signs of cardiovascular disease)"
"CCG","Clinical commissioning group"
"CCF","congestive cardiac failure"
"CCK","cholecystokinin"
"CCK-PZ","cholecystokinin-pancreozymin"
"CCNS","cell cycle–nonspecific [drug] (a type of drug used in chemotherapy)"
"CCOC","clear cell odontogenic carcinoma"
"CCOT","calcifying cystic odontogenic tumor (formerly called calcifying odontogenic cyst)"
"CCP","cyclic citrullinated peptide"
"CCR","cardiocerebral resuscitation"
"CCU","coronary care unit critical care unit"
"CD","Crohn's disease chemical dependency cluster of differentiation controlled delivery"
"CDAD","Clostridium difficile–associated diarrhoea"
"CDC","Centers for Disease Control and Prevention"
"CDH","congenital dislocated hip"
"CDI","central diabetes insipidus Clostridium difficile infection  cool, dry, intact (when referring to incision/surgical sites)"
"CDMR","caesarean delivery on maternal request"
"CDP","cytosine diphosphate"
"CDR","cutaneous drug reaction"
"CEA","carcinoembryonic antigen carotid endarterectomy cost-effectiveness analysis"
"CEIOL","cataract extraction with intraocular lens placement"
"CF","cystic fibrosis"
"CFA","complement-fixing antibody  colonization factor antigen"
"CFIDS","chronic fatigue immune dysfunction syndrome"
"CFR","case fatality rate"
"CFS","chronic fatigue syndrome"
"CFT","complement fixation test capillary filling time"
"CFTR","cystic fibrosis transmembrane conductance regulator"
"CFU","colony-forming unit"
"CGD","chronic granulomatous disease"
"CGI","Clinical Global Impression (including subscales such as CGI-BP, CGI-C, CGI-E, CGI-I, CGI-S)"
"cGMP","cyclic guanosine monophosphate"
"CGN","chronic glomerulonephritis"
"CH","congenital hypothyroidism"
"CHC","combined hormonal contraceptive"
"CHD","chronic heart disease congenital heart defect coronary heart disease"
"ChE","cholinesterase"
"CHEM-7","a group of blood tests, commonly called a basic metabolic panel (blood urea nitrogen, carbon dioxide, creatinine, glucose, serum chloride, serum potassium, serum sodium)"
"CHEM-20","a group of blood tests (albumin, alkaline phosphatase, alanine transaminase, aspartate aminotransferase, blood urea nitrogen, calcium – serum, serum chloride, carbon dioxide, creatinine, direct bilirubin, gamma-glutamyl transpeptidase, glucose test, lactate dehydrogenase, phosphorus – serum, potassium test, serum sodium, total bilirubin, total cholesterol, total protein, uric acid)"
"CHE","cholinesterase"
"CHF","congestive heart failurecontinuous hemofiltration"
"CHO","carbohydrate"
"CHOP","cyclophosphamide, doxorubicin (a.k.a. hydroxydaunorubicin), vincristine(a.k.a. Oncovin), prednisone (chemotherapy regimen)"
"Chol","cholesterol"
"CHS","cannulated hip screw"
"CHT","congenital hypothyroidism"
"CI","confidence interval cardiac index"
"CIB","cibus (food)"
"CICU","cardiac intensive care unit"
"CIDP","chronic inflammatory demyelinating polyneuropathy"
"CIMF","chronic idiopathic myelofibrosis"
"CIN","cervical intraepithelial neoplasia"
"CINV","Chemotherapy-induced nausea and vomiting"
"Circ","circumcision circulation"
"CIS","carcinoma in situ"
"CIVI","continuous intravenous infusion"
"CIWA","Clinical Institute Withdrawal Assessment for Alcohol"
"CJD","Creutzfeldt–Jakob disease"
"CK","creatine kinase (formerly CPK)"
"CKD","chronic kidney disease"
"CKMB","MB isoenzyme of creatine kinase"
"Cl","chlorine clearance"
"CLARE","contact lens acute red eye"
"CLL","chronic lymphocytic leukemia"
"CLN","cervical lymph node"
"CLND","cervical lymph node dissection complete lymph node dissection"
"CLP","cleft lip and palate"
"CLS","capillary leak syndrome"
"CM","Chirurgiae Magister, Master of Surgery (British and Commonwealth countries medical degree)Caucasian malecardiomyopathy"
"CMD","cystic medial degeneration"
"CME","continuing medical education"
"CML","chronic myelogenous leukemia, also called chronic myeloid leukaemia"
"CMML","chronic myelomonocytic leukemia"
"CMO","comfort measures only (palliative care or hospice)"
"CMP","complete metabolic profile (a blood panel) cytosine monophosphate"
"CMS","Centers for Medicare and Medicaid Services chronic mountain sickness"
"CMT","cervical motion tenderness"
"CMV","cytomegalovirus"
"CN","cranial nerves"
"CNS","central nervous system Clinical nurse specialist Crigler-Najjar syndrome"
"CNVM","Choroidal Neovascular Membranes"
"C/O or c/o","complains of..."
"CO","cardiac output carbon monoxide complains of..."
"COAD","chronic obstructive airways disease"
"COCP","combined oral contraceptive pill"
"COH","controlled ovarian hyperstimulation"
"COLD","chronic obstructive lung disease"
"Comp","compound"
"Conj","conjunctiva"
"COP","cryptogenic organizing pneumonitis"
"COPD","chronic obstructive pulmonary disease"
"CO2","carbon dioxide"
"COX-1","cyclooxygenase 1"
"COX-2","cyclooxygenase 2"
"COX-3","cyclooxygenase 3"
"CP","cerebral palsy chest pain  constrictive pericarditis"
"CPAP","continuous positive airway pressure"
"CPC","clinical–pathological conference"
"CPCR","cardiopulmonary-cerebral resuscitation, a version of CPR"
"CPD","cephalopelvic disproportion"
"CPE","Clostridium perfringens enterotoxin cardiogenic pulmonary edema Carbapenemase producing Enterobacteriaceae"
"CPG","clinical practice guideline"
"CPK","creatine phosphokinase"
"CPKMB","creatine phosphokinase heart"
"CPP","cerebral perfusion pressure"
"CPPD","calcium pyrophosphate  cyclic perimenstrual pain and discomfort[1] (premenstrual syndrome)"
"CPR","cardiopulmonary resuscitation"
"CPT","Current Procedural Terminology"
"CR","complete remission (complete response) controlled release"
"Cr","creatinine"
"CRC","colorectal cancer"
"CrCl","creatinine clearance  (Note: Looks similar to, but does not mean, the chromium chlorides—CrCl2,  CrCl3,  CrCl4)"
"CRD","chronic renal disease circadian rhythm disorder"
"CRE","carbapenem-resistant Enterobacteriaceae"
"Creat","creatinine"
"CREST","calcinosis, Raynaud esophagus, sclerosis, teleangiectasiae"
"CRF","chronic renal failure corticotropin-releasing factor"
"CrGN","crescentic glomerulonephritis"
"CRH","corticotropin-releasing hormone"
"CRI","chronic renal insufficiency"
"Crike","Cricothyrotomy"
"CRISPR","clustered regularly interspaced short palindromic repeats"
"Crit","hematocrit"
"CRL","crown-rump length"
"CRNA","certified registered nurse anesthetist"
"CRO","contract research organization"
"CRP","C-reactive protein"
"CRPC","castration-resistant prostate cancer"
"CRPS","complex regional pain syndrome"
"CRRT","continuous renal replacement therapy"
"CRS","congenital rubella syndrome"
"CRSD","circadian rhythm sleep disorder"
"CRT","cardiac resynchronization therapy (artificial pacemaker) chemoradiotherapy  conformal radiotherapy (irradiated zone conforms to boundaries) cathode ray tube capillary refill time  central retinal thickness
Certified Respiratory Therapist"
"CRTx","chemoradiotherapy"
"CS","caesarean section compartment syndrome  culture sensitivity Churg-Strauss syndrome"
"C/S","Caesarean section"
"C&S","culture and sensitivity (antibiogram)"
"CsA","cyclosporin A"
"CSA","Controlled Substances Act"
"C-section","cesarean section"
"CSF","cerebrospinal fluid colony-stimulating factor"
"CSME","clinically significant macular edema"
"CSOM","chronic suppurative otitis media"
"CSPC","community specialist palliative care"
"C-spine","cervical spine"
"CSR","cumulative survival rate"
"C-SSRS","Columbia Suicide Severity Rating Scale"
"CSU","catheter specimen of urine"
"CST","contraction stress test"
"CT","computed tomography cervicothoracic"
"CTA","clear to auscultation computed tomography angiography"
"CTAB","clear to auscultation bilaterally; also written CTA B"
"CTAP","CT during arterial portography"
"CTCAE","Common Terminology Criteria for Adverse Events"
"CT c/a/p","CT scan of chest, abdomen, and pelvis"
"CTD","connective tissue disease"
"CTE","chronic traumatic encephalopathy coefficient of thermal expansion"
"CTEPH","Chronic thromboembolic pulmonary hypertension"
"CTO","chronic total occlusion  Community Treatment Order (psychiatric term for forced drugging outside hospital context)"
"CTP","cytosine triphosphate cytidine triphosphate Child-Turcotte-Pugh score  clear to percussion"
"CTPA","computed tomographic pulmonary angiography"
"CTPE","CT scan for pulmonary embolii"
"CTR","carpal tunnel release"
"CTS","computed tomography scan  Carpal Tunnel Syndrome"
"CTU","cancer treatment unit"
"CTx","chemotherapy"
"CTX","ceftriaxone (a third-generation cephalosporin antibiotic)  contractions chemotherapy"
"CTZ","Chemoreceptor trigger zone"
"CUC","chronic ulcerative colitis"
"CV","cardiovascular"
"CVA","cerebrovascular accident costovertebral angle"
"CVAD","central venous access device"
"CVAT","costovertebral angle tenderness"
"CVC","central venous catheter chronic venous congestion"
"CVD","cardiovascular disease"
"CVI","cerebrovascular incident"
"CVL","central venous line"
"CVP","central venous pressure"
"CVS","chorionic villus sampling cardiovascular system"
"CVID","common variable immunodeficiency"
"CVVH","continuous veno-venous hemofiltration, a short-term alternative to Hemodialysis"
"c/w","consistent with"
"CWP","coal worker's pneumoconiosis"
"Cx","microbiological culture"
"Cx","complication"
"Cx","cervix"
"CXR","chest x-ray (chest radiograph)"
"DS","diagnosis"
"D5","5% dextrose"
"D25","25% dextrose injections"
"D4T","stavudine"
"D5W","5% dextrose in water - IV fluids for intravenous therapy"
"d","day(s)"
"DA","dopamine"
"DAEC","diffusely adherent Escherichia coli"
"DAF","decay accelerating factor"
"DAI","diffuse axonal injury"
"DALY","disability-adjusted life year"
"DAPT","dual anti-platelet therapy"
"DBP","diastolic blood pressure"
"DBS","deep brain stimulation
dried blood spots"
"D&C","dilatation and curettage"
"D/C","discharge  discontinue"
"DCBE","double contrast barium enema"
"DCD","donation after cardiac death"
"DCCV","direct current cardioversion"
"DCIS","ductal carcinoma in situ"
"DCM","dilated cardiomyopathy"
"DD","differential diagnosisDiastolic Dysfunction"
"DDAVP","desmopressin acetate"
"DDC","zalcitabine"
"DDD","daily defined doses  Degenerative disk disease"
"DDH","developmental hip dysplasia"
"DDI","didanosine"
"DDx","differential diagnosis"
"D&E","dilatation and evacuation"
"DES","diethylstilbestrol Drug-eluting stent"
"DEXA","Dual energy X-ray absorptiometry"
"DH","developmental history Department of Health (United Kingdom), a branch of government"
"DHE","dihydroergotamine"
"DHEA-S","dehydroepiandrosterone sulphate"
"DHF","decompensated heart failure"
"DHR","dihydrorhodamine"
"DHT","dihydrotestosterone"
"DHT","Dobhoff Tube"
"DI","diabetes insipidus"
"DIB","dead in bed difficulty in breathing"
"DIC","disseminated intravascular coagulation"
"DICVP","Diplomate, International College of Veterinary Pharmacy"
"Di-Di","dichromatic diamnionic twins"
"DIL","drug-induced lupus"
"DILI","drug-induced liver injury"
"DIP","distal interphalangeal joint or Diffuse Interstitial Pneumonitis"
"DiPerTe","diphtheria-pertussis-tetanus (combined vaccination)"
"Dis","dislocation"
"Disch","discharge"
"DiTe","diphtheria-tetanus (combined vaccination)"
"DIU","death in utero (stillbirth)"
"DJD","degenerative joint disease (osteoarthritis)"
"DKA","diabetic ketoacidosis"
"dl","deciliter"
"dL","deciliter"
"DLB","dementia with Lewy bodies"
